행정구역,2012년_남_총인구수,2012년_남_연령구간인구수,2012년_남_0세,2012년_남_1세,2012년_남_2세,2012년_남_3세,2012년_남_4세,2012년_남_5세,2012년_남_6세,2012년_남_7세,2012년_남_8세,2012년_남_9세,2012년_남_10세,2012년_남_11세,2012년_남_12세,2012년_남_13세,2012년_남_14세,2012년_남_15세,2012년_남_16세,2012년_남_17세,2012년_남_18세,2012년_남_19세,2012년_남_20세,2012년_남_21세,2012년_남_22세,2012년_남_23세,2012년_남_24세,2012년_남_25세,2012년_남_26세,2012년_남_27세,2012년_남_28세,2012년_남_29세,2012년_남_30세,2012년_남_31세,2012년_남_32세,2012년_남_33세,2012년_남_34세,2012년_남_35세,2012년_남_36세,2012년_남_37세,2012년_남_38세,2012년_남_39세,2012년_남_40세,2012년_남_41세,2012년_남_42세,2012년_남_43세,2012년_남_44세,2012년_남_45세,2012년_남_46세,2012년_남_47세,2012년_남_48세,2012년_남_49세,2012년_남_50세,2012년_남_51세,2012년_남_52세,2012년_남_53세,2012년_남_54세,2012년_남_55세,2012년_남_56세,2012년_남_57세,2012년_남_58세,2012년_남_59세,2012년_남_60세,2012년_남_61세,2012년_남_62세,2012년_남_63세,2012년_남_64세,2012년_남_65세,2012년_남_66세,2012년_남_67세,2012년_남_68세,2012년_남_69세,2012년_남_70세,2012년_남_71세,2012년_남_72세,2012년_남_73세,2012년_남_74세,2012년_남_75세,2012년_남_76세,2012년_남_77세,2012년_남_78세,2012년_남_79세,2012년_남_80세,2012년_남_81세,2012년_남_82세,2012년_남_83세,2012년_남_84세,2012년_남_85세,2012년_남_86세,2012년_남_87세,2012년_남_88세,2012년_남_89세,2012년_남_90세,2012년_남_91세,2012년_남_92세,2012년_남_93세,2012년_남_94세,2012년_남_95세,2012년_남_96세,2012년_남_97세,2012년_남_98세,2012년_남_99세,2012년_남_100세 이상,2012년_여_총인구수,2012년_여_연령구간인구수,2012년_여_0세,2012년_여_1세,2012년_여_2세,2012년_여_3세,2012년_여_4세,2012년_여_5세,2012년_여_6세,2012년_여_7세,2012년_여_8세,2012년_여_9세,2012년_여_10세,2012년_여_11세,2012년_여_12세,2012년_여_13세,2012년_여_14세,2012년_여_15세,2012년_여_16세,2012년_여_17세,2012년_여_18세,2012년_여_19세,2012년_여_20세,2012년_여_21세,2012년_여_22세,2012년_여_23세,2012년_여_24세,2012년_여_25세,2012년_여_26세,2012년_여_27세,2012년_여_28세,2012년_여_29세,2012년_여_30세,2012년_여_31세,2012년_여_32세,2012년_여_33세,2012년_여_34세,2012년_여_35세,2012년_여_36세,2012년_여_37세,2012년_여_38세,2012년_여_39세,2012년_여_40세,2012년_여_41세,2012년_여_42세,2012년_여_43세,2012년_여_44세,2012년_여_45세,2012년_여_46세,2012년_여_47세,2012년_여_48세,2012년_여_49세,2012년_여_50세,2012년_여_51세,2012년_여_52세,2012년_여_53세,2012년_여_54세,2012년_여_55세,2012년_여_56세,2012년_여_57세,2012년_여_58세,2012년_여_59세,2012년_여_60세,2012년_여_61세,2012년_여_62세,2012년_여_63세,2012년_여_64세,2012년_여_65세,2012년_여_66세,2012년_여_67세,2012년_여_68세,2012년_여_69세,2012년_여_70세,2012년_여_71세,2012년_여_72세,2012년_여_73세,2012년_여_74세,2012년_여_75세,2012년_여_76세,2012년_여_77세,2012년_여_78세,2012년_여_79세,2012년_여_80세,2012년_여_81세,2012년_여_82세,2012년_여_83세,2012년_여_84세,2012년_여_85세,2012년_여_86세,2012년_여_87세,2012년_여_88세,2012년_여_89세,2012년_여_90세,2012년_여_91세,2012년_여_92세,2012년_여_93세,2012년_여_94세,2012년_여_95세,2012년_여_96세,2012년_여_97세,2012년_여_98세,2012년_여_99세,2012년_여_100세 이상
제주특별자치도  (5000000000),292213,292213,2935,2970,3039,2921,3019,3294,3159,3135,3307,3526,3634,3987,4465,4275,4322,4463,4549,4571,4631,4459,4568,4077,3662,3340,3168,3162,3145,3206,3317,3660,4250,4243,4227,4297,3687,4219,4285,4472,5093,5180,5467,5839,5602,5667,5563,5150,5441,5059,4932,5161,5004,4922,4998,4645,4411,4239,3932,3977,3310,2565,2894,2397,2482,2405,2746,2543,2369,2056,2095,1965,2155,2008,1729,1736,1553,1428,1196,1172,1143,965,721,531,404,383,250,198,148,130,124,129,97,72,53,33,19,22,12,13,8,5,21,291500,291500,2840,2821,2813,2750,2882,3149,2878,2768,2978,3227,3085,3630,4217,3871,3861,4124,4104,4197,4130,4039,3787,3846,2991,2969,2888,2853,2762,3014,3149,3494,4034,4062,4004,4269,3496,4049,3793,4266,4597,5061,5190,5610,5256,5144,5172,4777,4599,4514,4448,4718,4566,4739,4740,4485,4122,4017,3819,4043,3243,2755,2938,2465,2612,2590,2751,2784,2506,2199,2324,2321,2544,2486,2273,2358,2201,2150,1979,1961,1998,1987,1647,1302,1337,1299,932,864,600,542,396,934,620,490,298,231,189,179,132,89,73,49,165
제주특별자치도 제주시 (5011000000),214588,214588,2270,2260,2359,2267,2331,2559,2427,2414,2522,2769,2788,3072,3464,3300,3367,3356,3480,3450,3527,3347,3485,3055,2755,2487,2364,2390,2317,2450,2460,2801,3183,3180,3237,3236,2783,3190,3220,3301,3824,3907,4022,4323,4109,4233,4086,3761,3964,3706,3581,3732,3545,3586,3560,3296,3150,3060,2717,2857,2296,1777,2020,1641,1688,1628,1809,1713,1611,1378,1409,1351,1370,1313,1118,1126,1021,956,764,746,731,623,457,379,270,256,168,126,96,91,91,79,68,50,39,23,8,13,9,9,6,4,15,215068,215068,2234,2185,2157,2087,2206,2401,2253,2162,2320,2517,2336,2781,3186,2938,2965,3099,3082,3140,3106,3073,2845,2911,2226,2218,2185,2138,2054,2278,2379,2696,3121,3169,3119,3328,2710,3178,2890,3348,3572,3987,4033,4367,4068,3986,3910,3627,3434,3380,3311,3482,3394,3487,3425,3253,2942,2897,2711,2890,2269,1916,2012,1702,1801,1727,1852,1893,1691,1437,1572,1575,1617,1577,1481,1555,1431,1362,1335,1221,1282,1288,1060,839,897,881,619,599,425,363,270,636,417,323,205,164,121,131,89,56,52,35,113
제주특별자치도 서귀포시 (5013000000),77625,77625,665,710,680,654,688,735,732,721,785,757,846,915,1001,975,955,1107,1069,1121,1104,1112,1083,1022,907,853,804,772,828,756,857,859,1067,1063,990,1061,904,1029,1065,1171,1269,1273,1445,1516,1493,1434,1477,1389,1477,1353,1351,1429,1459,1336,1438,1349,1261,1179,1215,1120,1014,788,874,756,794,777,937,830,758,678,686,614,785,695,611,610,532,472,432,426,412,342,264,152,134,127,82,72,52,39,33,50,29,22,14,10,11,9,3,4,2,1,6,76432,76432,606,636,656,663,676,748,625,606,658,710,749,849,1031,933,896,1025,1022,1057,1024,966,942,935,765,751,703,715,708,736,770,798,913,893,885,941,786,871,903,918,1025,1074,1157,1243,1188,1158,1262,1150,1165,1134,1137,1236,1172,1252,1315,1232,1180,1120,1108,1153,974,839,926,763,811,863,899,891,815,762,752,746,927,909,792,803,770,788,644,740,716,699,587,463,440,418,313,265,175,179,126,298,203,167,93,67,68,48,43,33,21,14,52
