행정구역,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_0세,2020년_남_1세,2020년_남_2세,2020년_남_3세,2020년_남_4세,2020년_남_5세,2020년_남_6세,2020년_남_7세,2020년_남_8세,2020년_남_9세,2020년_남_10세,2020년_남_11세,2020년_남_12세,2020년_남_13세,2020년_남_14세,2020년_남_15세,2020년_남_16세,2020년_남_17세,2020년_남_18세,2020년_남_19세,2020년_남_20세,2020년_남_21세,2020년_남_22세,2020년_남_23세,2020년_남_24세,2020년_남_25세,2020년_남_26세,2020년_남_27세,2020년_남_28세,2020년_남_29세,2020년_남_30세,2020년_남_31세,2020년_남_32세,2020년_남_33세,2020년_남_34세,2020년_남_35세,2020년_남_36세,2020년_남_37세,2020년_남_38세,2020년_남_39세,2020년_남_40세,2020년_남_41세,2020년_남_42세,2020년_남_43세,2020년_남_44세,2020년_남_45세,2020년_남_46세,2020년_남_47세,2020년_남_48세,2020년_남_49세,2020년_남_50세,2020년_남_51세,2020년_남_52세,2020년_남_53세,2020년_남_54세,2020년_남_55세,2020년_남_56세,2020년_남_57세,2020년_남_58세,2020년_남_59세,2020년_남_60세,2020년_남_61세,2020년_남_62세,2020년_남_63세,2020년_남_64세,2020년_남_65세,2020년_남_66세,2020년_남_67세,2020년_남_68세,2020년_남_69세,2020년_남_70세,2020년_남_71세,2020년_남_72세,2020년_남_73세,2020년_남_74세,2020년_남_75세,2020년_남_76세,2020년_남_77세,2020년_남_78세,2020년_남_79세,2020년_남_80세,2020년_남_81세,2020년_남_82세,2020년_남_83세,2020년_남_84세,2020년_남_85세,2020년_남_86세,2020년_남_87세,2020년_남_88세,2020년_남_89세,2020년_남_90세,2020년_남_91세,2020년_남_92세,2020년_남_93세,2020년_남_94세,2020년_남_95세,2020년_남_96세,2020년_남_97세,2020년_남_98세,2020년_남_99세,2020년_남_100세 이상,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_0세,2020년_여_1세,2020년_여_2세,2020년_여_3세,2020년_여_4세,2020년_여_5세,2020년_여_6세,2020년_여_7세,2020년_여_8세,2020년_여_9세,2020년_여_10세,2020년_여_11세,2020년_여_12세,2020년_여_13세,2020년_여_14세,2020년_여_15세,2020년_여_16세,2020년_여_17세,2020년_여_18세,2020년_여_19세,2020년_여_20세,2020년_여_21세,2020년_여_22세,2020년_여_23세,2020년_여_24세,2020년_여_25세,2020년_여_26세,2020년_여_27세,2020년_여_28세,2020년_여_29세,2020년_여_30세,2020년_여_31세,2020년_여_32세,2020년_여_33세,2020년_여_34세,2020년_여_35세,2020년_여_36세,2020년_여_37세,2020년_여_38세,2020년_여_39세,2020년_여_40세,2020년_여_41세,2020년_여_42세,2020년_여_43세,2020년_여_44세,2020년_여_45세,2020년_여_46세,2020년_여_47세,2020년_여_48세,2020년_여_49세,2020년_여_50세,2020년_여_51세,2020년_여_52세,2020년_여_53세,2020년_여_54세,2020년_여_55세,2020년_여_56세,2020년_여_57세,2020년_여_58세,2020년_여_59세,2020년_여_60세,2020년_여_61세,2020년_여_62세,2020년_여_63세,2020년_여_64세,2020년_여_65세,2020년_여_66세,2020년_여_67세,2020년_여_68세,2020년_여_69세,2020년_여_70세,2020년_여_71세,2020년_여_72세,2020년_여_73세,2020년_여_74세,2020년_여_75세,2020년_여_76세,2020년_여_77세,2020년_여_78세,2020년_여_79세,2020년_여_80세,2020년_여_81세,2020년_여_82세,2020년_여_83세,2020년_여_84세,2020년_여_85세,2020년_여_86세,2020년_여_87세,2020년_여_88세,2020년_여_89세,2020년_여_90세,2020년_여_91세,2020년_여_92세,2020년_여_93세,2020년_여_94세,2020년_여_95세,2020년_여_96세,2020년_여_97세,2020년_여_98세,2020년_여_99세,2020년_여_100세 이상
제주특별자치도  (5000000000),338609,338609,2005,2318,2559,2798,3166,3450,3434,3475,3945,3818,3775,3631,3594,3811,3570,3447,3597,3733,3758,4052,4581,4320,4307,4410,4406,4406,4477,4340,4478,3983,3763,3438,3487,3517,3720,3987,4119,4724,5480,5553,5599,5589,4769,5341,5341,5497,6279,6245,6442,6867,6451,6389,6237,5804,5960,5629,5452,5634,5409,5381,5495,5032,4685,4520,4131,4191,3464,2632,2974,2431,2396,2323,2624,2418,2160,1876,1835,1672,1763,1627,1342,1268,1120,988,787,730,642,511,354,233,170,163,84,43,42,23,18,24,22,9,40,336026,336026,1823,2279,2423,2666,2981,3150,3314,3357,3767,3569,3529,3334,3395,3601,3252,3062,3197,3432,3233,3658,4184,3771,3780,3966,3771,3933,3922,3963,3877,3871,3348,3378,3406,3497,3491,3893,4222,4747,5399,5386,5379,5713,4515,5142,4795,5113,5489,5882,6029,6350,6011,5847,5806,5373,5158,5092,5071,5245,5136,5316,5348,5035,4556,4446,4197,4364,3539,2972,3136,2613,2740,2674,2807,2813,2497,2171,2273,2236,2378,2308,2042,2103,1922,1807,1638,1530,1485,1430,1125,835,792,699,445,365,254,193,125,304,170,114,256
제주특별자치도 제주시 (5011000000),246588,246588,1520,1741,2006,2120,2405,2590,2649,2658,2964,2823,2808,2724,2663,2887,2667,2598,2715,2880,2842,3085,3521,3264,3332,3318,3364,3348,3404,3327,3500,3075,2890,2611,2671,2696,2870,3064,3124,3594,4089,4162,4175,4156,3501,3925,3899,3938,4524,4592,4587,4900,4544,4653,4476,4152,4255,4006,3854,3961,3778,3770,3788,3471,3256,3153,2758,2933,2347,1796,2033,1614,1603,1536,1693,1600,1438,1229,1235,1117,1102,1050,867,824,739,646,504,469,417,330,224,174,115,111,51,33,30,17,10,17,11,5,27,245878,245878,1428,1753,1889,1989,2248,2351,2526,2516,2861,2687,2604,2481,2517,2687,2480,2315,2427,2642,2439,2813,3159,2876,2957,3043,2931,3039,3053,3098,3022,2965,2575,2578,2627,2693,2649,2967,3175,3516,4071,4064,4034,4265,3401,3827,3509,3841,4070,4477,4525,4766,4478,4354,4211,3946,3749,3690,3653,3783,3677,3763,3721,3522,3177,3109,2846,3034,2409,2014,2111,1786,1853,1763,1854,1901,1696,1392,1541,1511,1511,1465,1327,1377,1264,1160,1122,955,937,957,732,552,530,500,305,251,177,130,89,212,117,67,171
제주특별자치도 서귀포시 (5013000000),92021,92021,485,577,553,678,761,860,785,817,981,995,967,907,931,924,903,849,882,853,916,967,1060,1056,975,1092,1042,1058,1073,1013,978,908,873,827,816,821,850,923,995,1130,1391,1391,1424,1433,1268,1416,1442,1559,1755,1653,1855,1967,1907,1736,1761,1652,1705,1623,1598,1673,1631,1611,1707,1561,1429,1367,1373,1258,1117,836,941,817,793,787,931,818,722,647,600,555,661,577,475,444,381,342,283,261,225,181,130,59,55,52,33,10,12,6,8,7,11,4,13,90148,90148,395,526,534,677,733,799,788,841,906,882,925,853,878,914,772,747,770,790,794,845,1025,895,823,923,840,894,869,865,855,906,773,800,779,804,842,926,1047,1231,1328,1322,1345,1448,1114,1315,1286,1272,1419,1405,1504,1584,1533,1493,1595,1427,1409,1402,1418,1462,1459,1553,1627,1513,1379,1337,1351,1330,1130,958,1025,827,887,911,953,912,801,779,732,725,867,843,715,726,658,647,516,575,548,473,393,283,262,199,140,114,77,63,36,92,53,47,85
